lat,lon,defect_type,severity,confidence,image_path,street_name,district
42.88345,74.618075,alligator_crack,9.1,0.97,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_37_18_png.rf.de997b6de13fbcbf415d3a7976f7a888.jpg,Ибраимова улица,Свердловский район
42.908542,74.577528,transverse_crack,3.5,0.97,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_43_37_png.rf.4e8d01136bc94bd9013c4f8d1210800f.jpg,Можайского улица,Колме
42.828051,74.574064,alligator_crack,2.6,0.89,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_44_09_png.rf.56ad1134d65d4f959a270ac7013343ab.jpg,Узун-Булак улица,Арча-Бешик
42.868706,74.641809,transverse_crack,1.9,0.94,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_45_01_png.rf.95a4b206c4e83a564f965af2e45111fd.jpg,Дмитрия Менделеева улица,Свердловский район
42.848844,74.525613,transverse_crack,3.7,0.98,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_45_48_png.rf.38310b8b8139d7e35ae97b11661312d3.jpg,Арабаева улица,Ак-Орго ж/м
42.874245,74.615662,transverse_crack,7.5,0.98,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_47_15_png.rf.6ce50f1e59a477b3eeba7929ac302a8f.jpg,Киевская улица,Свердловский район
42.912713,74.588519,pothole,3.1,0.85,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_50_11_png.rf.a1a26746be979e3ba09767e627151e97.jpg,Саадаева улица,Ак-Босого
42.832169,74.582446,pothole,1.5,0.85,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_50_32_png.rf.6c466408101ff75df840b612ad6f6358.jpg,Толомуша Океева улица,Джал-23 микрорайон
42.858184,74.653756,pothole,8.3,0.93,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_51_32_png.rf.c1c52be4cd7fa9212cc9139032aff584.jpg,Дордой улица,Кара-Жыгач
42.873473,74.546537,pothole,1.8,0.98,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_52_23_png.rf.608e80d3c6426d45264c53b524f4d4d0.jpg,Мукаша Абдраева улица,Кызыл-Аскер
42.89049,74.622944,pothole,2.2,0.93,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_52_55_png.rf.38381fd36ec957787a845a6d98104858.jpg,Школьная улица,Свердловский район
42.900449,74.599934,pothole,9.2,0.92,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_53_56_png.rf.2b450383de28d854fbddaec43235f009.jpg,Васильева улица,Свердловский район
42.844812,74.565071,pothole,9.2,0.9,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_55_38_png.rf.9e34752645e3e4b581bb34e537d00dbb.jpg,Ахунбаева Исы улица,Джал-23 микрорайон
42.872702,74.644959,alligator_crack,1.1,0.95,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_56_48_png.rf.90e8202925b73fef63cdd694ef9ee5cd.jpg,Unknown Street,Свердловский район
42.871245,74.554946,alligator_crack,1.9,0.87,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_56_54_png.rf.63ac873159d2ff3ed68760d1d11b7d2b.jpg,Кенсуйская улица,Ленинский район
42.883146,74.623559,alligator_crack,1.8,0.89,ml/data/urban_tech_annotated/images/Screenshot-2025-12-12-at-21_57_02_png.rf.0c7415d7b7264e0cab2be6708e214f82.jpg,Карпинского переулок,Свердловский район
